"","RT1","bothT1","LdMRI","RdMRI","bothdMRI","Lcombi","Rcombi","bothcombi","age"
"1",8.01733522158947e-13,2.66398803613633e-05,2.6558506901573e-21,8.84100807457237e-21,1.34546976644177e-22,1.34950382054308e-09,4.54395355351358e-13,1.8571225275262e-10,2.75128832064276e-08
"2",0.939000658530653,0.0130011950630636,0.000271095235707687,0.00147302921751834,0.000705122088885829,0.69931088683177,0.960641054671341,0.314275514538293,9.18442126662589e-07
"3",1.39093648556484e-34,5.40443193918796e-36,5.98140597579322e-11,9.84365872221666e-05,5.13225347086591e-08,4.90666849070559e-24,9.07234824308693e-16,1.75434845435042e-19,7.6302299631834e-194
"4",9.06078382133159e-08,1.96129230394441e-07,9.07153018737117e-10,5.23072763604611e-10,7.36830737309132e-13,3.52726279210387e-14,3.65329741327789e-12,4.74366231954155e-13,0.0447742669745669
"5",5.73703978199536e-08,0.00979029836262403,1.98512964691284e-16,9.67586378785004e-14,5.77003715716836e-16,1.43585528729614e-05,2.45993643582464e-07,6.1533867033198e-05,0.000662974011297599
"6",0.608752069983684,0.0177362035688292,1.53896665478181e-07,2.05876401328945e-08,2.2080229559762e-08,0.81501579422222,0.064171620379217,0.745558513193865,2.70094136191738e-53
"7",3.52263265585649e-31,7.18933842571525e-22,3.25432078029305e-31,1.81089019784837e-32,6.72569672187819e-35,3.76306927387318e-25,4.29459304208397e-33,2.0331598891954e-31,1.71986736915681e-54
"8",9.16861903648182e-12,9.63843831337077e-11,1.49327176416773e-74,5.25715194048235e-54,2.44046597409453e-65,5.13331673777938e-52,2.40257748478687e-47,1.61050605339557e-49,0.808655581972279
"9",3.04081755755682e-17,4.87740611323129e-16,4.5540371561409e-75,1.46710056350864e-57,4.27883029997913e-69,6.12660414632606e-60,7.43036694597327e-53,4.52951404023091e-55,0
"10",5.14317725004857e-10,1.63109454412617e-09,1.41588509850204e-27,7.5639189772131e-23,5.90773015186472e-27,7.68531827520954e-26,3.68581360833668e-22,6.00907405152068e-23,0
"11",4.71981668731625e-11,1.43629054917101e-11,0.000510994660826703,8.71511293577013e-05,0.0010724066505585,2.348548922628e-06,4.46332965160341e-08,6.16852410387327e-06,0.000403261938094486
"12",1.98125070459914e-09,3.08974339699896e-09,1.2110103705857e-54,7.60826904491758e-34,1.53158178232518e-43,4.8099558138884e-38,1.53318327921701e-30,2.1205946474573e-32,2.17944166004571e-112
"13",0.0213094338656304,0.138545608118983,0.00500935950965723,0.0221563423757679,0.00591337044694812,0.0103973956632098,0.00773213175908665,0.00674404136731189,1.1759801838601e-138
"14",0.514199230674666,0.261974592533036,0.0979325074170341,0.0182715108239557,0.0268141221266468,0.256322404611113,0.183253876443237,0.282200872593012,1.69045431691507e-07
"15",0.00129253619084378,0.00436020468836267,0.0107329384795928,0.0195260012220311,0.0195021437749885,0.000456369336777823,0.00370058511438453,0.0124378286129406,1.39847180473046e-17
