"","Region","p_male","Cohensd_male","p_female","Cohensd_female"
"105","lh_superiortemporal_volume",0,0.428338737443404,0,0.26588422678511
"106","lh_supramarginal_area",0,0.410083624096918,0,0.298647676065208
"107","lh_supramarginal_thickness",1.76584445344669e-162,0.180322478051069,1.75113888010525e-34,0.0776011925911163
"108","lh_supramarginal_volume",0,0.479796766903131,0,0.400431199361706
"109","lh_temporalpole_area",0,0.734809037878997,0,0.680988048870969
"110","lh_temporalpole_thickness",0,0.415310769951603,0,0.429602819471546
"111","lh_temporalpole_volume",0,0.47331507726402,0,0.388385915456664
"112","lh_transversetemporal_area",0,1.76824477947884,0,1.88549635510859
"113","lh_transversetemporal_thickness",0,0.312464055009607,0,0.256642983572079
"114","lh_transversetemporal_volume",0,1.28923138727301,0,1.38157392084369
"115","lh_WhiteSurfArea_area",0,0.810871101472381,0,0.749556590506852
"116","lhCortexVol",0,0.612955088670537,0,0.518678766906432
"117","lhCorticalWhiteMatterVol",0,0.674076421825884,0,0.626579211402777
