"","metrics_list..df..","Deviance","F.stat","p","p_adj","AICf","BICf"
"rh_isthmuscingulate_area","rh_isthmuscingulate_area",0.616500951946364,0.623418448976809,0.43721711024307,51.1544018984391,69395.4352630126,69444.4634927376
"rh_lateraloccipital_area","rh_lateraloccipital_area",8.94547989523562,2.97479316356974,0.0274241635576188,3.2086271362414,69390.1814754834,69453.8184397784
"rh_lateralorbitofrontal_area","rh_lateralorbitofrontal_area",43.9486417489861,14.7261682138618,5.2447260100292e-10,6.13632943173417e-08,69353.0029062667,69416.8267784982
"rh_lingual_area","rh_lingual_area",3.86537044812576,3.8717309428873,0.0467038786829157,5.46435380590114,69391.9974125174,69441.0810815726
"rh_medialorbitofrontal_area","rh_medialorbitofrontal_area",2.15787568027008,2.27905464676739,0.131005966353791,15.3276980633936,69393.7381910308,69442.5241725376
"rh_middletemporal_area","rh_middletemporal_area",184.769530317481,62.4022120536271,2.75101961642972e-42,3.21869295122277e-40,69202.8575797253,69267.3944820359
"rh_parahippocampal_area","rh_parahippocampal_area",11.4200272407179,4.02207013470288,0.00705970002895389,0.825984903387606,69387.1648325825,69449.229951541
"rh_paracentral_area","rh_paracentral_area",12.2486444398419,12.7346200766043,0.000323262157199231,0.03782167239231,69383.0376833315,69431.9125092997
"rh_parsopercularis_area","rh_parsopercularis_area",14.8637604438045,5.34500937747912,0.00119256438804939,0.139530033401779,69383.3448469855,69444.7608058346
"rh_parsorbitalis_area","rh_parsorbitalis_area",10.6750737009461,3.66315832314684,0.0109515024404871,1.28132578553699,69388.1115310243,69450.806352075
"rh_parstriangularis_area","rh_parstriangularis_area",0.338936089887284,0.338448999147622,0.574239005454597,67.1859636381878,69395.7479591524,69444.848680449
"rh_pericalcarine_area","rh_pericalcarine_area",12.2897666181234,4.11694288264272,0.00533980388576404,0.624757054634393,69386.6150691474,69450.2021553736
"rh_postcentral_area","rh_postcentral_area",23.2701434527771,24.047092658103,7.0524012307026e-07,8.25130943992204e-05,69371.3300136205,69420.2412149774
"rh_posteriorcingulate_area","rh_posteriorcingulate_area",7.77863682268435,7.721420860181,0.00457452080567843,0.535218934264376,69387.8526041916,69436.9897197618
"rh_precentral_area","rh_precentral_area",1.93897175409074,1.95932152696393,0.161003932185909,18.8374600657514,69394.0314811179,69443.064226719
"rh_precuneus_area","rh_precuneus_area",1.22175191742645,1.26671646283309,0.261486319982313,30.5938994379306,69394.7576815349,69443.6452595747
"rh_rostralanteriorcingulate_area","rh_rostralanteriorcingulate_area",6.72907719552313,2.54102934358619,0.0583938658347077,6.83208230266081,69391.6508485715,69451.6887704933
"rh_rostralmiddlefrontal_area","rh_rostralmiddlefrontal_area",21.7718492898312,18.5648608703624,2.54415196063117e-06,0.000297665779393847,69373.2172861799,69423.3236345464
"rh_superiorfrontal_area","rh_superiorfrontal_area",1.10802860036347,1.10382099811551,0.297635901463851,34.8234004712705,69394.9343274994,69444.0487613969
"rh_superiorparietal_area","rh_superiorparietal_area",1.75039850418034,1.83808716106143,0.175142334165957,20.491653097417,69394.1787963151,69442.9961427522
"rh_superiortemporal_area","rh_superiortemporal_area",2.62643665340147,1.25886755629054,0.285407304713747,33.3926546515084,69394.9590546434,69450.7278045188
"rh_supramarginal_area","rh_supramarginal_area",16.8118785819861,17.0946835914523,2.61275268659226e-05,0.00305692064331295,69378.2183036354,69427.2190403527
"rh_frontalpole_area","rh_frontalpole_area",11.4330322064488,3.89485485736201,0.00772469310228892,0.903789092967803,69387.408534674,69450.5199551926
"rh_temporalpole_area","rh_temporalpole_area",15.8015645852356,5.31451487653531,0.000929392374595548,0.108738907827679,69382.9154741476,69446.6370491185
"rh_transversetemporal_area","rh_transversetemporal_area",14.5107256247575,4.87297700103364,0.00177400722889346,0.207558845780535,69384.2752950327,69447.9469812385
"rh_insula_area","rh_insula_area",7.39540097707504,7.63164475663239,0.00533462742795782,0.624151409071065,69388.2052180024,69437.1204308749
"rh_WhiteSurfArea_area","rh_WhiteSurfArea_area",446.267836360013,158.84156106186,2.45035458699567e-103,2.86691486678493e-101,68921.4086335091,68986.4032728537
"rhCortexVol","rhCortexVol",288.669930633183,102.32988387834,1.59079352732171e-66,1.8612284269664e-64,69091.2107757057,69155.1204759142
"rhCorticalWhiteMatterVol","rhCorticalWhiteMatterVol",250.154998574286,88.1839810939424,1.46880016992538e-57,1.7184961988127e-55,69132.6525756612,69196.7837405646
"Right.Lateral.Ventricle","Right.Lateral.Ventricle",173.791513801891,63.3258871768844,5.59343877818184e-40,6.54432337047275e-38,69213.7822417962,69274.9610955494
"Right.Inf.Lat.Vent","Right.Inf.Lat.Vent",456.927802788465,156.107963668622,1.09217686195937e-105,1.27784692849246e-103,68909.7341060196,68974.2042746637
"Right.Cerebellum.White.Matter","Right.Cerebellum.White.Matter",208.015724984987,72.7772188415232,9.04698736959312e-48,1.05849752224239e-45,69178.0645897303,69243.0428698207
"Right.Cerebellum.Cortex","Right.Cerebellum.Cortex",85.5591272457677,29.9451980075368,1.4350880646248e-19,1.67905303561102e-17,69308.9675457478,69373.9621170882
"Right.Thalamus.Proper","Right.Thalamus.Proper",372.422802424517,132.876429978624,4.56815395285723e-86,5.34474012484296e-84,69001.149575658,69065.7709053583
"Right.Caudate","Right.Caudate",158.608254000312,54.0695136749355,2.80223990492655e-36,3.27862068876406e-34,69230.9075650861,69295.6693170486
"Right.Putamen","Right.Putamen",226.639430540632,80.6917722677636,3.88367731149989e-52,4.54390245445488e-50,69158.1035498278,69223.1096198132
"Right.Pallidum","Right.Pallidum",350.037319458756,120.769000014824,1.00007496999785e-80,1.17008771489749e-78,69025.0772801158,69088.7941211716
"Right.Hippocampus","Right.Hippocampus",176.885978453916,60.7707170433511,1.61268440017104e-40,1.88684074820012e-38,69211.140248256,69275.0406466167
"Right.Amygdala","Right.Amygdala",368.260089924672,129.134697432376,4.91816912410424e-85,5.75425787520196e-83,69005.7261109391,69070.6882101135
"Right.Accumbens.area","Right.Accumbens.area",419.331485280643,145.979597480163,5.99510495830833e-97,7.01427280122075e-95,68950.4993480916,69015.2528086803
"rh_MeanThickness_thickness","rh_MeanThickness_thickness",39.1145609836312,12.9939898538702,6.68698264104372e-09,7.82376969002115e-07,69358.1947537494,69422.2123399104
